id,Category,Name,Address,Symbol,TVL,Market Cap,Slug,TVL (7dma),TVL (1mma),Volume (7dma),Volume (1mma),Holder Counts (7day),Holder Counts (1mma)
2269,CEX,Binance CEX,,-,63979845763.42812,,binance-cex,-7.737583894841582e-05,-1.8156315690631697e-06,,,,
182,Liquid Staking,Lido,0x5a98fcbea516cf06857215779fd812ca3bef1b32,LDO,11986896779.750513,1588791858.3459718,lido,5.106333086592141e-05,2.2613906717297017e-05,,,0.0035062508981175454,0.016417780106540915
2272,CEX,OKX,,-,9922516101.38885,,okx,1.9883124476436363e-05,6.5844201817322204e-06,,,,
2275,CEX,Bitfinex,,-,9106867790.615412,,bitfinex,-3.221909980948734e-05,-1.6687965454809107e-06,,,,
118,CDP,MakerDAO,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,7255320344.392193,603629358.3223344,makerdao,-5.0162397485531414e-06,-2.0035595491553204e-05,,,0.0006759754113944105,0.005326825127334466
240,Chain,Polygon Bridge & Staking,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,MATIC,6800895120.092967,8335832299.158397,polygon-bridge-&-staking,-7.230100627616864e-05,-5.342676749003794e-05,,,0.0017336831520671282,0.017999228149067906
3,Dexes,Curve DEX,0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,4282172311.4330955,,curve-dex,-1.670253248455156e-05,-2.7967457813181664e-05,0.0268,0.0965,0.0015752670269716452,0.007575659971398019
2,Bridge,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,4270684853.2692122,4270152341.642816,wbtc,-1.9029762700075724e-05,2.6124202540045437e-06,,,0.0018730608101345458,0.0117242773398019
494,Lending,JustLend,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,3729650622.978478,208951805.43125898,justlend,3.5574284791708433e-05,6.0780977094165856e-06,,,,
111,Lending,AAVE V2,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,3706569100.525899,926728180.5935694,aave-v2,-6.545677361383006e-05,-4.813457146461975e-05,,,0.001768676979797225,0.010211643534509828
2270,CEX,Crypto-com,,-,3506338760.2645893,,crypto-com,-3.727422791262813e-05,-3.0054905372174367e-05,,,,
319,Yield,Convex Finance,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,CVX,3316743671.1885786,367458970.58527607,convex-finance,0.000318332633763867,-5.193458536177475e-05,,,0.001742606734662498,0.010443054334901513
694,Bridge,JustCryptos,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,3279528807.0,,justcryptos,-2.1755326440791036e-05,-4.49096500614865e-06,,,,
2276,CEX,Huobi,,-,2912770554.041735,,huobi,-4.259746759712524e-05,-1.4752801292934325e-05,,,,
2286,CEX,Bybit,,-,2872767663.555437,,bybit,-4.268163754223453e-05,-2.072718770607662e-05,,,,
2198,Dexes,Uniswap V3,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,2849849241.6046095,,uniswap-v3,-1.3599258538711246e-05,1.8121500878476304e-06,0.5421,2.1626,0.003061939119529634,-0.015290731759313543
2274,CEX,Kucoin,,-,2649767568.8181777,,kucoin,-8.39435442037506e-05,-1.271114852220423e-05,,,,
2222,Liquid Staking,Coinbase Wrapped Staked ETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,CBETH,2188725942.0651655,0.0,coinbase-wrapped-staked-eth,-2.381622228836422e-05,-1.1014023523814308e-05,,,0.03045766225482379,0.2291402485417195
120,Services,Instadapp,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,INST,2103667820.3989224,24094865.487172443,instadapp,2.7744507852169864e-05,5.89804571763386e-06,,,-0.0034061879080329264,-0.016251050714485852
2314,CEX,Gate-io,,-,1829261868.3861706,,gate-io,-9.42761232586109e-05,-4.92245856288609e-05,,,,
2273,CEX,Deribit,,-,1811838020.781147,,deribit,3.1698163690840885e-06,-4.8404520490563655e-06,,,,
194,Dexes,PancakeSwap AMM,bsc:0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,CAKE,1764260269.0451312,,pancakeswap-amm,-2.814693985650818e-05,-5.732442255538595e-05,0.7967,2.9745,,
591,Bridge,Multichain,0x9Fb9a33956351cf4fa040f65A13b835A3C8764E3,MULTI,1717786051.5954986,160332403.62569934,multichain,-6.293424555011695e-05,3.008971189402576e-05,,,0.0,0.0
900,Liquid Staking,Rocket Pool,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,RPL,1514188097.392993,913173273.5800108,rocket-pool,4.6690444827151014e-05,6.679198707780998e-05,,,0.003720148805952238,0.06412213740458016
2352,CEX,Bitget,,-,1491879879.2947063,,bitget,3.8444807138764414e-05,1.8581472441381308e-07,,,,
1599,Lending,AAVE V3,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,1405199639.9339252,,aave-v3,7.669627690103154e-05,6.948237165591564e-06,,,0.001768676979797225,0.010211643534509828
114,Lending,Compound,0xc00e94cb662c3520282e6f5717214004a7f26888,COMP,1289296152.6213236,,compound,-3.875007006192144e-05,-5.883298000700643e-05,,,0.0004366501340800683,0.00288800076125226
2197,Dexes,Uniswap V2,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,1188727259.0532389,,uniswap-v2,2.136746507920284e-05,6.361884359529224e-06,0.5404,6.1644000000000005,0.003061939119529634,-0.015290731759313543
691,CDP,JustStables,tron:TMwFHYXLJaRUPeW6421aqXL4ZEzPRFGkGT,USDJ,1188442763.204264,0.0,juststables,4.718367719569461e-06,9.935937737139965e-06,,,,
2611,Dexes,Balancer V2,0xba100000625a3754423978a60c9317c58a424e3d,BAL,1041541306.5939171,,balancer-v2,-4.4253272613860026e-05,-5.313643765984977e-05,2.1274,0.0374,0.000831000699790063,0.0046979276431331225
2293,CEX,Bitmex,,-,823740230.0364552,,bitmex,-5.5730487086220746e-05,-1.4671196972104728e-05,,,,
212,Lending,Venus,bsc:0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,XVS,811146597.4195626,69498842.04226373,venus,-0.00017731563155193308,-8.581014690626221e-06,,,,
270,CDP,Liquity,0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,LQTY,737319321.2961454,112530923.12325011,liquity,2.2452341207601644e-05,-4.203199064458651e-06,,,0.0020198310686742565,0.011023622047244094
337,Derivatives,GMX,arbitrum:0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,GMX,686515152.9878875,552381844.0390421,gmx,1.2040258001826399e-05,2.4983813284125132e-05,1.0171,3.0331,,
1918,Yield,Aura,0xc0c293ce456ff0ed870add98a0828dd4d2903dbf,AURA,614617601.2747089,56937541.66540689,aura,-1.931308952526356e-06,-6.645906653352296e-05,,,-0.010861515675141941,-0.047313361864003804
2295,CEX,SwissBorg,,-,571663805.6174836,,swissborg,-5.733661383915401e-05,-1.708255276522186e-05,,,,
2088,Lending,Compound V3,0xc00e94cb662c3520282e6f5717214004a7f26888,COMP,552840226.9785174,,compound-v3,-4.3807018314580005e-05,3.5349424673696284e-05,,,0.0004366501340800683,0.00288800076125226
113,Yield Aggregator,Yearn Finance,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,YFI,443506529.84736097,238865818.72971866,yearn-finance,-4.7304650212275365e-05,-5.42352479712127e-07,,,0.00128281223075303,-0.0609445142754534
1571,Cross Chain,Stargate,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,STG,436086589.05004513,117564594.3567342,stargate,8.994541916116372e-06,1.2512341501518253e-05,,,0.016549165120593692,0.13615062414465226
119,Dexes,SushiSwap,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,SUSHI,417229988.2252593,174236386.6093587,sushiswap,-5.0068303023990126e-05,-3.1798916198527706e-05,0.1577,1.9158000000000002,0.0009306047191226225,0.005056459430427834
690,Dexes,SUNSwap,tron:TSSMHYeV2uE9qYH95DqyoCuNCzEL1NvU3S,SUN,409995561.4109725,,sunswap,9.158267424616007e-06,1.6709207554654882e-06,-0.41229999999999994,0.4483,,
115,Synthetics,Synthetix,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,SNX,370727006.0993571,687729587.6147122,synthetix,-0.00010158727161739045,-6.038690544858838e-05,,,-0.01803065950645158,-0.0228143668566989
144,Derivatives,dYdX,0x92d6c1e31e14520e676a687f0a93788b716beff5,DYDX,357188567.9723825,336663639.95763284,dydx,5.9395743495949116e-05,1.8917087744929616e-06,,,0.004455823342606041,0.017556985385804778
2373,CEX,Binance US,,-,354359127.725695,,binance-us,5.7104101305680554e-05,4.750528119111142e-05,,,,
2301,CEX,Korbit,,-,343456426.56862366,,korbit,-2.504145296171156e-05,-1.2460959163331787e-05,,,,
2221,Liquid Staking,Frax Ether,0x5E8422345238F34275888049021821E8E08CAa1f,frxETH,336945562.07848203,,frax-ether,0.00011194596806510137,0.00010538170526493085,,,0.03282828282828283,0.14565826330532214
2168,Lending,Morpho Aave,0x9994e35db50125e0df82e4c2dde62496ce330999,MORPHO,324651763.7192277,,morpho-aave,6.70527306504165e-05,5.981111230049185e-05,,,0.0029154518950437317,0.04137235116044399
326,Yield Aggregator,Beefy,bsc:0xca3f508b8e4dd382ee878a314789373d80a5190a,BIFI,314590953.69701993,33739016.37227601,beefy,-0.00010337879564149777,-3.9895612216221956e-05,,,,
1796,Bridge,Poly Network,,-,312168135.6,,poly-network,-5.608704098680195e-05,-2.611535302623258e-05,,,,
1541,Bridge,Portal,,-,308786007.6,,portal,0.00021720873509455617,3.187465973737424e-05,,,,
2769,Dexes,PancakeSwap AMM V3,bsc:0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,CAKE,304755838.67163765,,pancakeswap-amm-v3,0.00038974800636007776,0.00017762002663967546,0.1464,2.955,,
2435,CEX,Nexo,,-,284043176.84671557,378543036.32602316,nexo,-6.627244793793618e-05,-1.9969730084404836e-05,,,,
148,Privacy,Tornado Cash,0x77777feddddffc19ff86db637967013e6c6a116c,TORN,274399180.7700244,9230554.202418758,tornado-cash,-1.004790184223281e-05,3.6370952307285264e-06,,,0.0013123359580052493,0.004608294930875576
1793,Indexes,Bwatch,0x045414e728067ab3da4bceafc0d992d59183463a,BOX,273365813.54,0.0,bwatch,-2.4464884461621318e-05,-5.948428559122698e-06,,,0.0,0.0588235294117647
122,Insurance,Nexus Mutual,0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b,NXM,267107755.67047083,345229562.45251495,nexus-mutual,1.0815545255284942e-05,-5.81659852907368e-07,,,0.0,-0.0007347538574577515
1799,Dexes,Velodrome,optimism:0x3c8B650257cFb5f272f799F5e2b4e65093a11a05,VELO,266477022.2034535,25676957.415152244,velodrome,-0.00012861918123395542,-9.705914401503256e-07,0.3003,0.7171,,
2706,Lending,Radiant V2,arbitrum:0x3082CC23568eA640225c2467653dB90e9250AaA0,RDNT,263958038.0703264,,radiant-v2,0.00019527399067876817,0.00010624818778032008,,,,
347,CDP,Abracadabra,0x090185f2135308bad17527004364ebcc2d37e5f6,SPELL,258813147.45755142,69931047.19591776,abracadabra,-1.5366517203601048e-05,1.516348874088358e-05,,,0.0015085861017493179,0.010034960507574776
132,Bridge,hBTC,0x0316EB71485b0Ab14103307bf65a021042c6d380,hBTC,249656979.62998885,252206162.75844365,hbtc,-7.440992926033285e-07,-1.6195429443066622e-06,,,0.0007572889057175312,-0.020022246941045607
1765,Launchpad,UniCrypt,0xadb2437e6f65682b85f814fbc12fec0508a7b1d0,UNCX,240010082.09273183,9591156.512873663,unicrypt,4.709541607931467e-05,1.622911425044338e-05,,,0.005451241671714113,0.007893139040680024
2907,Dexes,Chronos,arbitrum:0x15b2fb8f08E4Ac1Ce019EADAe02eE92AeDF06851,CHR,232268140.35442796,0.0,chronos,0.002204803803055988,0.001389644944161279,4.098,,,
502,Yield,Coinwind,heco:0x80861a817106665bca173db6ac2ab628a738c737,COW,213671303.0518423,0.0,coinwind,-1.4163817428025639e-06,2.9854743253343587e-07,,,,
295,Chain,Stacks Staking,-,STX,208361161.81713977,1012664506.1196563,stacks-staking,-0.0004455110617557945,-0.00018292360521159122,,,,
657,Bridge,Synapse,0x0f2d719407fdbeff09d87557abb7232601fd9f29,SYN,205484064.84153563,128263081.99596086,synapse,-6.137461892256946e-05,-3.6626921904034935e-05,,,-0.003881156316916488,-0.010370961308336656
345,Leveraged Farming,Alpaca Leveraged Yield Farming,bsc:0x8f0528ce5ef7b51152a59745befdd91d97091d2f,ALPACA,202263642.62966374,32338999.044404496,alpaca-leveraged-yield-farming,0.00042556759901605455,5.7830463544068514e-05,,,,
1807,Launchpad,PinkSale,bsc:0x602ba546a7b06e0fc7f58fd27eb6996ecc824689,PINKSALE,199879018.68395105,18133080.75260271,pinksale,1.1335801142515755e-05,3.0680548305117575e-05,,,,
641,Liquidity manager,Arrakis V1,,-,199051997.05744207,,arrakis-v1,8.30490141010154e-05,-1.239678841102876e-06,,,,
373,Dexes,BiSwap,bsc:0x965f527d9159dce6288a2219db51fc6eef120dd1,BSW,189650908.1971509,50518237.93298851,biswap,0.0003828427718154348,-6.841244331161734e-05,0.37479999999999997,0.5215,,
831,Dexes,VVS Finance,cronos:0x2D03bECE6747ADC00E1a131BBA1469C15fD11e03,VVS,177507151.56955504,116277035.57055382,vvs-finance,-8.244588353451321e-05,-1.61755139239117e-05,0.3271,1.6606,,
277,Liquid Staking,StakeWise,0x48c3399719b582dd63eb5aadf12a40b4c3f52fa2,SWISE,170654416.14420703,29179563.02952818,stakewise,1.9240398993041198e-05,5.3268464486277974e-06,,,-0.009705488621151271,-0.01661681621801263
704,Dexes,Chainge Finance,fusion:0xed0294dbd2a0e52a09c3f38a09f6e03de2c44fcf,CHNG,169417008.650634,44889439.78975499,chainge-finance,-8.088988290276821e-06,-1.3121241510345438e-05,2.7187,1.3153,,
278,Liquid Staking,Ankr,0x8290333cef9e6d528dd5618fb97a76f268f3edd4,ANKR,161234995.16979307,213955011.90714267,ankr,-0.00014844719376454484,-4.812291020106607e-05,,,0.0030056120412332403,0.013164136622390892
1217,Liquid Staking,Parallel Liquid Crowdloan,,-,155432918.27323827,,parallel-liquid-crowdloan,-7.367104175799e-05,-4.2231634566077814e-05,,,,
129,Chain,xDAI Stake Bridge,0x0Ae055097C6d159879521C384F1D2123D1f195e6,STAKE,155233308.69501433,757962.7161497177,xdai-stake-bridge,-1.1874295162558335e-05,-2.4391492891768786e-05,,,-0.00022678308198208414,-0.00011340440009072352
383,Dexes,Osmosis DEX,-,OSMO,154941929.81628358,381200417.41981626,osmosis-dex,-6.760869892353028e-05,-1.2499276085649048e-05,0.2661,1.5233,,
231,Payments,Lightning Network,-,-,149311571.46141368,,lightning-network,-2.828900516156585e-05,-5.591054463118805e-06,,,,
2517,NFT Lending,ParaSpace Lending,,-,149165131.76059023,,paraspace-lending,-3.747724165789057e-05,2.7954615140111104e-05,,,,
1773,NFT Lending,BendDAO Lending,0x0d02755a5700414B26FF040e1dE35D337DF56218,BEND,148972981.3448006,,benddao-lending,-9.51655975386656e-05,-8.553978746822733e-05,,,-0.0025780578630764826,-0.000478423117405033
1054,Bridge,ChainPort,0x104f3152d8ebfc3f679392977356962ff36566ac,PORTX,146262488.37199998,2298629.0773116676,chainport,-0.0001787495278499318,-5.147447771738256e-05,,,0.006024096385542169,0.018292682926829267
1981,Bridge,Orbit Bridge,eth:0x662b67d00A13FAf93254714DD601F5Ed49Ef2F51,ORC,143146000.92513317,0.0,orbit-bridge,-4.5895223214426076e-05,-8.939976921980786e-05,,,,
1166,Dexes,DefiChain DEX,-,DFI,141432604.47552434,282033128.1256197,defichain-dex,-0.00028924391388088775,-0.00012505324132875196,4.5979,4.5497000000000005,,
359,Algo-Stables,Frax,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,FXS,136237170.06314406,,frax,-1.835367566297208e-05,-7.312179957364218e-05,,,0.00216998191681736,0.017702365212281475
801,Bridge,cBridge,,CELR,134362669.09749582,106151862.81407437,cbridge,-6.759909098956963e-05,-1.8291125886951144e-05,,,,
467,Lending,Benqi Lending,avax:0x8729438eb15e2c8b576fcc6aecda6a148776c0f5,QI,132630572.97548681,30230736.09762022,benqi-lending,-3.7809402402613215e-05,-4.3488736288547216e-05,,,,
2914,Liquid Staking,Binance staked ETH,,-,131084857.60995449,,binance-staked-eth,1.6607067051221948e-05,-1.969887039945717e-05,,,,
1879,Liquid Staking,Acala LCDOT,acala:-,ACA,129503777.85896887,,acala-lcdot,-7.251812953238845e-05,-4.182282331214981e-05,,,,
1115,Lending,Tectonic,cronos:0xeAdf7c01DA7E93FdB5f16B0aa9ee85f978e89E95,TONIC,125175004.97262338,41819777.86911633,tectonic,-3.682069321422343e-06,9.613213573689272e-07,,,,
116,Dexes,Balancer V1,0xba100000625a3754423978a60c9317c58a424e3d,BAL,123500285.31529593,,balancer-v1,-7.315821473370176e-05,-4.240611499857327e-05,2.5362999999999998,0.7958,0.000831000699790063,0.0046979276431331225
2076,Lending,Fraxlend,,-,122325211.86020721,,fraxlend,3.948195756970696e-05,6.479121399577181e-05,,,,
177,Services,DefiSaver,-,-,121493416.4761033,,defisaver,-4.157691872302971e-06,-8.740105093030804e-05,,,,
279,Liquid Staking,StakeHound,0x160b1e5aabfd70b2fc40af815014925d71ceed7e,-,120872801.63958165,0.0,stakehound,1.2171273986869568e-05,-1.528970980100297e-06,,,0.0,0.0
2542,RWA,Ondo Finance,-,-,116484007.7607635,,ondo-finance,0.00014065527529231404,0.00015468307257943126,,,,
2414,NFT Marketplace,Blur Bids,0x5283d291dbcf85356a21ba090e6db59121208b44,BLUR,113163073.05283968,210548464.25814408,blur-bids,-1.2106905975046712e-05,-3.203746751868741e-05,,,0.0029055108656501375,-0.013976108409273335
2313,CEX,Firi,,-,110126064.03321558,,firi,-5.240240426044873e-05,-1.3196679747515817e-05,,,,
1044,Liquid Staking,Stader,0x30d20208d987713f46dfd34ef128bb16c404d10f,SD,109739615.93885157,24149242.260809418,stader,9.019130760750116e-06,-2.1598573894715535e-05,,,-0.0014492753623188406,-0.008957175547564564
1864,Launchpad,Team Finance,0xCC4304A31d09258b0029eA7FE63d032f52e44EFe,SWAP,105652144.86387151,26771897.218617924,team-finance,-3.545800847549851e-05,-1.4942754677564895e-05,,,-0.0013916091124626328,-0.004419094599455321
508,Dexes,KlaySwap,-,KSP,105299087.89356306,0.0,klayswap,-5.808091510823621e-05,-4.125295307788268e-05,0.5613,0.6179,,
412,Dexes,Thorchain,thorchain:0x0000000000000000000000000000000000000000,RUNE,105202289.69651206,364513236.20202994,thorchain,-6.271631203254469e-05,-5.290742312508034e-05,,,,
126,Dexes,Loopring,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,LRC,104381224.78790307,366114382.4421827,loopring,-9.049992438729059e-05,-3.986399906114824e-05,,,0.000521793784724487,0.004865412101000477
504,Algo-Stables,Mento,-,-,104368829.2090505,253664678.1601633,mento,-0.00030975523004247,-0.00010101325527263505,,,,
2292,CEX,Cake DeFi,,-,103025423.19304669,,cake-defi,-2.8644006923070897e-05,-1.2169392156976544e-05,,,,
355,Liquidity manager,Gamma,0x6bea7cfef803d1e3d5f7c0103f7ded065644e197,GAMMA,101429551.24747758,13443951.920573274,gamma,3.914232135631579e-05,0.00010585095749359397,,,-0.008272750062672349,-0.029440628066732092
484,Liquid Staking,Marinade Finance,solana:MNDEFzGvMt87ueuHvVU9VcTqsAP5b3fTGPsHuuPA5ey,MNDE,100602860.85580002,6104908.160150253,marinade-finance,-8.790339763612986e-05,-7.057107333894752e-05,,,,
2305,CEX,MaskEX,,-,100275837.89043686,,maskex,-2.717095699874106e-05,-9.72061273139757e-06,,,,
435,Cross Chain,Hop Protocol,0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,HOP,98959256.08851857,7689709.150036675,hop-protocol,-1.8364294027726214e-05,-1.2830127640124367e-05,,,-0.0008592910848549946,-0.0042106765629460466
1167,Synthetics,DefiChain Loans,-,DFI,98457530.62386481,,defichain-loans,1.380676464150188e-05,3.857756389435974e-06,,,,
2346,CEX,WOO X,,-,95507192.91184752,,woo-x,-0.00013301449813306942,2.364778229932307e-05,,,,
2678,Lending,Alpaca Lending,bsc:0x8f0528ce5ef7b51152a59745befdd91d97091d2f,ALPACA,95331987.09561554,,alpaca-lending,0.0004508182062676691,-0.00014176602767799419,,,,
1700,Dexes,Wombat Exchange,bsc:0xad6742a35fb341a9cc6ad674738dd8da98b94fb1,WOM,95320173.84590074,6860487.989951201,wombat-exchange,7.766788775644296e-05,3.447427901897671e-05,1.4791999999999998,1.4967,,
1427,Liquid Staking,Benqi Staked Avax,avax:0x2b2C81e08f1Af8835a78Bb2A90AE924ACE0eA4bE,SAVAX,93583249.9698157,93373051.11187343,benqi-staked-avax,-9.882734627163935e-05,-2.8954918813499654e-05,,,,
2369,CEX,Phemex,,-,93443121.39275745,,phemex,-2.325439466170365e-05,-5.054388052362247e-05,,,,
431,Dexes,SUN.io,tron:TSSMHYeV2uE9qYH95DqyoCuNCzEL1NvU3S,SUN,92722884.3532974,51145780.83050864,sun.io,4.7043486104780814e-06,8.797950842504454e-05,,,,
2616,Yield,Conic Finance,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,CNC,91904213.67636442,,conic-finance,-6.023673949368314e-05,1.235377960789874e-05,,,-0.0048330404217926184,-0.0035195776506819184
140,Lending,Kava Lend,-,HARD,90005026.464473,19408884.08932026,kava-lend,-3.941658200791842e-05,1.641362944970748e-06,,,,
2307,Dexes,Camelot V2,arbitrum:0x3d9907F9a368ad0a51Be60f7Da3b97cf940982D8,GRAIL,88371282.5614697,,camelot-v2,-4.624714675596109e-05,-6.079107952909002e-05,-0.6966,1.2196,,
2298,CEX,Coinsquare,,-,84188589.8943458,,coinsquare,4.682280275566164e-05,-2.4690420071605822e-05,,,,
306,Dexes,Quickswap Dex,polygon:0x831753dd7087cac61ab5644b308642cc1c33dc13,QUICK,83218436.71650809,32978199.909240708,quickswap-dex,-0.00012899758075910929,-5.925249521563258e-05,,,,
1087,Lending,Algofi Lend,,-,81630399.08624715,,algofi-lend,-0.00011706541634643796,-4.149742247422039e-05,,,,
797,Dexes,Katana DEX,,-,81373409.6089142,,katana-dex,1.659712100674504e-05,-3.363706809416778e-05,0.2157,-0.0108,,
2415,Liquid Staking,OKC Liquid Staking,okexchain:0x97b05e6c5026d5480c4b6576a8699866eb58003b,stOKT,77588358.86351818,,okc-liquid-staking,-0.000159386178849501,2.2315134285342265e-05,,,,
266,Indexes,Set Protocol,-,-,77339274.75914407,,set-protocol,-7.068018727912406e-05,-4.6493334332037285e-05,,,,
225,Indexes,Enzyme Finance,0xec67005c4e498ec7f55e092bd1d35cbc47c91892,MLN,76901743.8441029,29089152.125019457,enzyme-finance,-8.879613951656706e-06,-6.305425297253864e-06,,,-0.0009602194787379973,0.003997794320374966
1108,Leveraged Farming,Gearbox,0xba3335588d9403515223f109edc4eb7269a9ab5d,GEAR,76865824.16872159,7121461.222643244,gearbox,-3.698212225296871e-05,-9.119725764851205e-05,,,-0.0005758157389635317,0.0025028879476318828
2190,Yield,Sushi BentoBox,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,SUSHI,76836260.55976114,,sushi-bentobox,-2.5493405932196512e-05,-1.2446301385682367e-05,,,0.0009306047191226225,0.005056459430427834
753,RWA,RealT Tokens,,-,76347664.39299999,,realt-tokens,1.2881507313902141e-05,1.6098634178780546e-05,,,,
654,Dexes,Beethoven X,fantom:0xf24bcf4d1e507740041c9cfd2dddb29585adce1e,BEETS,74624696.9824758,4621111.233769834,beethoven-x,-0.0001562046849029064,-6.914091117811272e-05,0.1343,-0.0276,,
143,Payments,Flexa,0xff20817765cb7f73d4bde2e66e067e58d11095c2,AMP,70803392.40876326,176233244.05191943,flexa,-9.582033882173269e-05,-3.882273950033488e-05,,,0.0012213424416498474,0.0063250975292587774
1985,Dexes,Canto Dex,,-,69311588.81549597,,canto-dex,-2.9320374067803856e-05,-1.3680083155004353e-05,0.0689,0.1572,,
2807,RWA,MatrixDock,0x530824DA86689C9C17CdC2871Ff29B058345b44a,STBT,69072848.5340865,0.0,matrixdock,8.923648639238557e-06,9.83353597236558e-06,,,0.0,0.125
135,CDP,Kava Mint,,-,68317232.8323602,,kava-mint,1.4830261849430038e-05,-2.9950900193369546e-05,,,,
302,Dexes,SpookySwap,fantom:0x841fad6eae12c286d1fd18d1d525dffa75c7effe,BOO,65566061.06599548,11791518.45451582,spookyswap,-0.00046171374664992325,-0.00011125304844548544,0.9268000000000001,1.7258000000000002,,
2111,Lending,UwU Lend,0x55C08ca52497e2f1534B59E2917BF524D4765257,UWU,65268554.83748306,24181866.285656627,uwu-lend,-1.127065883021805e-05,-1.5913854944774597e-05,,,-0.0011185682326621924,0.8526970954356847
1901,Launchpad,DxSale,0xF063fE1aB7a291c5d06a86e14730b00BF24cB589,DX,65194337.58967482,1007150.4413922536,dxsale,-5.1199592588995204e-05,-1.891420816880873e-05,,,-0.0010857763300760044,0.005464480874316941
382,Yield,Pendle,0x808507121b80c02388fad14726482e061b8da827,PENDLE,64509386.40624145,34429368.92502677,pendle,-3.9832906653581856e-05,5.781566914103031e-05,,,-0.0069367369589345175,0.06486164831895269
1544,Yield,Concentrator,ethereum:0xb3Ad645dB386D7F6D753B2b9C3F4B853DA6890B8,CTR,64270230.94500837,0.0,concentrator,0.00014298590088832386,-1.1932900704612059e-05,,,,
1995,Dexes,Bancor V3,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,64168427.34073759,,bancor-v3,-0.0001556114108450102,-9.004687681688827e-05,0.9884000000000001,,0.00022897267592733933,0.00393248384872705
2121,Dexes,Frax Swap,,-,64031102.15866682,,frax-swap,-4.0803521350679664e-05,-3.3028710095619474e-05,1.4989,0.8781,,
2226,Yield,Wombex Finance,bsc:0xa75d9ca2a0a1D547409D82e1B06618EC284A2CeD,WMX,62235931.0402747,2399439.4590682667,wombex-finance,0.00012633613079394035,5.8710103467998206e-05,,,,
243,Yield Aggregator,Flamincome,0x57dD84042ec9507963016596A34EdaD42F7e4CCE ,FLAG,61966374.14671925,,flamincome,-7.729180038023032e-06,-2.350375221080725e-06,,,,
2239,Dexes,Quickswap V3,polygon:0xb5c064f955d8e7f38fe0460c556a72987494ee17,QUICK,60710665.19575334,,quickswap-v3,-8.660017760537486e-05,-1.6218296682604105e-05,0.3419,2.3775999999999997,,
172,Indexes,Index Coop,0x0954906da0Bf32d5479e25f46056d22f08464cab,INDEX,60481293.91771758,11033329.02838053,index-coop,-5.064509659997496e-05,-4.191766051223178e-05,,,0.0018431292238378046,0.010326311441553075
951,Dexes,4Swap,,-,59906927.880799994,,4swap,-4.365901842915188e-05,-1.907230716430397e-05,0.5211,1.1603,,
2311,CEX,CoinDCX,,-,59062289.92319444,,coindcx,-3.0462907831962925e-05,-2.0326071022023218e-05,,,,
449,CDP,QiDao,polygon:0x580a84c73811e1839f75d86d75d88cca0c241ff4,QI,58671783.02544282,5015506.578079683,qidao,0.0001340621567003919,-2.0932428212364627e-05,,,,
1018,Derivatives,Gains Network,polygon:0xe5417af564e4bfda1c483642db72007871397896,GNS,58613786.743470296,151334473.81238046,gains-network,1.9089433773755714e-05,1.3577719954080969e-05,,,,
2205,CDP,Pando Leaf,,-,58163073.863341436,,pando-leaf,-4.931316346468928e-05,-1.9203828246102672e-05,,,,
2038,CDP,Helio Protocol,bsc:0x0782b6d8c4551B9760e74c0545a9bCD90bdc41E5,HAY,57958679.27308928,39209738.62836311,helio-protocol,-4.9445731663019246e-05,-2.23833533579465e-06,,,,
